"","wage","educ","exper","tenure","nonwhite","female","married","numdep","smsa","northcen","south","west","construc","ndurman","trcommpu","trade","services","profserv","profocc","clerocc","servocc"
"1",3.09999990463257,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"2",3.24000000953674,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1
"3",3,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
"4",6,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"5",5.30000019073486,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"7",11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"8",5,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"9",3.59999990463257,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0
"10",18.1800003051758,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"11",6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"12",8.13000011444092,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"13",8.77000045776367,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"14",5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"15",22.2000007629395,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
"16",17.3299999237061,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
"17",7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"18",10.6300001144409,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"19",3.59999990463257,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
"20",4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"21",6.88000011444092,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"22",8.47999954223633,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
"23",6.32999992370605,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"24",0.529999971389771,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"25",6,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"26",9.5600004196167,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
"27",7.78000020980835,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"28",12.5,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"29",12.5,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0
"30",3.25,8,9,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"31",13,14,23,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0
"32",4.5,14,2,5,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0
"33",9.68000030517578,13,16,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"34",5,12,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"35",4.67999982833862,12,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"36",4.26999998092651,16,22,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
"37",6.15000009536743,12,15,6,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
"38",3.50999999046326,4,39,15,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0
"39",3,14,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"40",6.25,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"41",7.80999994277954,12,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"42",10,12,20,5,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0
"43",4.5,14,16,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"44",4,11,45,12,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"45",6.38000011444092,13,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"46",13.6999998092651,15,20,13,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0
"47",1.66999995708466,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"48",2.9300000667572,12,36,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
"49",3.65000009536743,14,9,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"50",2.90000009536743,12,15,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1
"51",1.62999999523163,12,18,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
"52",8.60000038146973,16,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"53",5,12,15,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"54",6,12,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"55",2.5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",3.25,15,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"57",3.40000009536743,16,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"58",10,8,13,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"59",21.6299991607666,18,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"60",4.38000011444092,16,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"61",11.710000038147,13,40,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"62",12.3900003433228,14,42,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"63",6.25,10,36,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"64",3.71000003814697,10,13,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0
"65",7.78000020980835,14,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"66",19.9799995422363,14,26,23,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"67",6.25,16,7,4,1,1,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0
"68",10,12,25,3,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0
"69",5.71000003814697,16,10,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"70",2,12,3,2,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
"71",5.71000003814697,16,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"72",13.0799999237061,17,17,2,1,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0
"73",4.90999984741211,12,17,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"74",2.91000008583069,12,20,34,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0
"75",3.75,12,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"76",11.8999996185303,13,24,19,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
"77",4,12,28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"78",3.09999990463257,12,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"79",8.44999980926514,12,19,13,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"80",7.1399998664856,18,13,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
"81",4.5,9,22,5,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"82",4.65000009536743,16,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"83",2.90000009536743,10,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"84",6.67000007629395,12,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"85",3.5,12,6,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"86",3.25999999046326,12,13,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"87",3.25,12,14,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"88",8,12,14,4,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"89",9.85000038146973,8,40,24,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"90",7.5,12,11,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"91",5.90999984741211,12,14,6,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"92",11.7600002288818,14,40,39,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"93",3,12,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
"94",4.80999994277954,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"95",6.5,12,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"96",4,9,19,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"97",3.5,13,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"98",13.1599998474121,12,34,22,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"99",4.25,14,5,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"100",3.5,12,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"101",5.13000011444092,15,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"102",3.75,12,14,0,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1
"103",4.5,12,35,12,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"104",7.63000011444092,12,8,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"105",15,14,7,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"106",6.84999990463257,15,11,3,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0
"107",13.3299999237061,12,14,11,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0
"108",6.67000007629395,12,35,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"109",2.52999997138977,12,46,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"110",9.80000019073486,17,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"111",3.36999988555908,11,45,12,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"112",24.9799995422363,18,29,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"113",5.40000009536743,12,6,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"114",6.1100001335144,14,15,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0
"115",4.19999980926514,14,33,16,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"116",3.75,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"117",3.5,14,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"118",3.64000010490417,12,7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
